model,fold,score
LogisticRegression,1,0.93125
LogisticRegression,2,0.930952380952381
LogisticRegression,3,0.9157738095238095
LogisticRegression,4,0.9270833333333334
LogisticRegression,5,0.9330357142857143
RandomForest,1,0.9485119047619047
RandomForest,2,0.9491071428571428
RandomForest,3,0.9508928571428571
RandomForest,4,0.9526785714285714
RandomForest,5,0.9592261904761905
XGBoost,1,0.9648809523809524
XGBoost,2,0.9645833333333333
XGBoost,3,0.9636904761904762
XGBoost,4,0.9702380952380952
XGBoost,5,0.9717261904761905
