model,fold,auc
LogisticRegression,1,0.9996410856009069
LogisticRegression,2,0.9995429864654195
LogisticRegression,3,0.9998726704223356
LogisticRegression,4,0.9998493303571429
LogisticRegression,5,0.9998261674461452
RandomForest,1,0.9999943310657596
RandomForest,2,0.9999936003047052
RandomForest,3,0.9999897472009638
RandomForest,4,0.9999996678358843
RandomForest,5,0.9999964790603741
XGBoost,1,0.9999959697420635
XGBoost,2,0.9999954382794785
XGBoost,3,0.9999886178429704
XGBoost,4,0.9999994242488662
XGBoost,5,0.9999985827664399
